Country Code,Pincode,Place,State,State Code,District,District Code,Sub-District,Sub-District Code,Latitude,Longitude,Accuracy
IN,110009,Model Town III,Delhi,07,North West Delhi,090,Delhi,,28.7121,77.206,3
IN,110009,Nirankari Colony,Delhi,07,North West Delhi,090,Delhi,,28.7121,77.206,4
IN,110009,Model Town II,Delhi,07,North West Delhi,090,Delhi,,28.7121,77.206,3
IN,110009,Dr.Mukerjee Nagar,Delhi,07,North West Delhi,090,NA,,28.7121,77.206,3
IN,110009,G.T.B.Nagar,Delhi,07,North West Delhi,090,Delhi,,28.7121,77.206,3
IN,110009,Gujranwala Colony,Delhi,07,North West Delhi,090,Delhi,,28.7121,77.206,3
IN,110009,H.S.Sangh,Delhi,07,North West Delhi,090,Delhi,,28.7121,77.206,3
IN,110033,Jahangir Puri H Block,Delhi,07,North West Delhi,090,Delhi,,28.716,77.1429,1
IN,110033,Jahangir Puri D Block,Delhi,07,North West Delhi,090,Delhi,,28.716,77.1429,1
IN,110033,Bhalaswa,Delhi,07,North West Delhi,090,Delhi,,28.716,77.1429,1
IN,110033,N.S.Mandi,Delhi,07,North West Delhi,090,Delhi,,28.716,77.1429,1
IN,110033,Jahangir Puri A Block,Delhi,07,North West Delhi,090,Delhi,,28.716,77.1429,1
IN,110033,Adrash Nagar,Delhi,07,North West Delhi,090,Delhi,,28.716,77.1429,1
IN,110034,Rani Bagh,Delhi,07,North West Delhi,090,Delhi,,28.716,77.1429,1
IN,110034,Maurya Enclave,Delhi,07,North West Delhi,090,Delhi,,28.716,77.1429,1
IN,110034,Sri Nagar Colony,Delhi,07,North West Delhi,090,Delhi,,28.716,77.1429,1
IN,110034,Shakur Pur I  Block,Delhi,07,North West Delhi,090,Delhi,,28.716,77.1429,1
IN,110034,Anandvas Shakurpur,Delhi,07,North West Delhi,090,Delhi,,28.716,77.1429,1
IN,110034,Saraswati Vihar,Delhi,07,North West Delhi,090,Delhi,,28.716,77.1429,1
IN,110034,Shakurbasti Rs,Delhi,07,North West Delhi,090,Delhi,,28.716,77.1429,1
IN,110035,Sarai Rohilla,Delhi,07,North West Delhi,090,Delhi,,28.6772,77.1573,3
IN,110035,Onkar Nagar,Delhi,07,North West Delhi,090,Delhi,,28.6772,77.1573,3
IN,110035,Keshav Puram (North West Delhi),Delhi,07,North West Delhi,090,Delhi,,28.6772,77.1573,3
IN,110035,INDERLOK,Delhi,07,North West Delhi,090,NA,,28.6772,77.1573,3
IN,110035,Ganeshpura,Delhi,07,North West Delhi,090,Delhi,,28.6772,77.1573,3
IN,110035,Power House,Delhi,07,North West Delhi,090,Delhi,,28.6772,77.1573,3
IN,110035,Rampura,Delhi,07,North West Delhi,090,Delhi,,28.6772,77.1573,4
IN,110036,Bakoli,Delhi,07,North West Delhi,090,Delhi,,28.8127,77.1616,3
IN,110036,Mukhmelpur,Delhi,07,North West Delhi,090,NA,,28.8127,77.1616,3
IN,110036,Nangal Poona,Delhi,07,North West Delhi,090,Delhi,,28.8127,77.1616,3
IN,110036,Bakhtawar Pur,Delhi,07,North West Delhi,090,Delhi,,28.8127,77.1616,3
IN,110036,Alipur,Delhi,07,North West Delhi,090,Delhi,,28.7986,77.1331,4
IN,110036,Kadipur,Delhi,07,North West Delhi,090,Delhi,,28.774,77.1631,4
IN,110036,Khampur,Delhi,07,North West Delhi,090,Delhi,,28.8243,77.1342,4
IN,110036,Hiranki,Delhi,07,North West Delhi,090,Delhi,,28.7991,77.182,4
IN,110036,Palla,Delhi,07,North West Delhi,090,Delhi,,28.842,77.187,4
IN,110036,Tajpur Kalan,Delhi,07,North West Delhi,090,Delhi,,28.8381,77.17,4
IN,110039,Barwala,Delhi,07,North West Delhi,090,Delhi,,28.7613,77.0628,4
IN,110039,Auchandi,Delhi,07,North West Delhi,090,Delhi,,28.8203,76.9962,4
IN,110039,Hareveli,Delhi,07,North West Delhi,090,Delhi,,28.805,77.0309,3
IN,110039,Mungeshpur,Delhi,07,North West Delhi,090,Delhi,,28.805,77.0309,3
IN,110039,Nangal Thakran,Delhi,07,North West Delhi,090,Delhi,,28.805,77.0309,3
IN,110039,Pooth Khurd,Delhi,07,North West Delhi,090,Delhi,,28.805,77.0309,3
IN,110039,Qutabagarh,Delhi,07,North West Delhi,090,Delhi,,28.805,77.0309,3
IN,110039,Jat Khore,Delhi,07,North West Delhi,090,Delhi,,28.805,77.0309,3
IN,110039,Katewara,Delhi,07,North West Delhi,090,Delhi,,28.805,77.0309,3
IN,110039,Daryapur Kalan,Delhi,07,North West Delhi,090,Delhi,,28.814,77.0111,4
IN,110039,Bawana,Delhi,07,North West Delhi,090,Delhi,,28.7982,77.0343,4
IN,110039,Ghoga,Delhi,07,North West Delhi,090,Delhi,,28.8311,77.05,4
IN,110040,Kanya Gurukul,Delhi,07,North West Delhi,090,Delhi,,28.8408,77.0939,3
IN,110040,Lampur,Delhi,07,North West Delhi,090,Delhi,,28.8509,77.0659,4
IN,110040,Tikri Khurd,Delhi,07,North West Delhi,090,Delhi,,28.8354,77.1195,4
IN,110040,Singhu,Delhi,07,North West Delhi,090,Delhi,,28.8512,77.1311,4
IN,110040,Bankner,Delhi,07,North West Delhi,090,Delhi,,28.8525,77.0787,4
IN,110040,Sanoth,Delhi,07,North West Delhi,090,Delhi,,28.8138,77.0739,4
IN,110040,Narela,Delhi,07,North West Delhi,090,Delhi,,28.8527,77.0929,4
IN,110040,Bhorgarh,Delhi,07,North West Delhi,090,Delhi,,28.8293,77.0952,4
IN,110042,Siraspur,Delhi,07,North West Delhi,090,Delhi,,28.7581,77.1309,4
IN,110042,Pehlad Pur,Delhi,07,North West Delhi,090,Delhi,,28.7581,77.1309,3
IN,110042,Delhi Engg. College,Delhi,07,North West Delhi,090,Delhi,,28.7581,77.1309,3
IN,110042,Samai Pur,Delhi,07,North West Delhi,090,Delhi,,28.7581,77.1309,3
IN,110042,Shahbad Daulatpur,Delhi,07,North West Delhi,090,Delhi,,28.7581,77.1309,3
IN,110042,Badli (North West Delhi),Delhi,07,North West Delhi,090,Delhi,,28.7581,77.1309,3
IN,110052,Satyawati Nagar,Delhi,07,North West Delhi,090,Delhi,,28.7688,77.0869,1
IN,110052,Ashok Vihar H.O,Delhi,07,North West Delhi,090,Delhi,,28.7688,77.0869,1
IN,110052,Shastri Nagar (North West Delhi),Delhi,07,North West Delhi,090,Delhi,,28.7688,77.0869,1
IN,110052,Nimri,Delhi,07,North West Delhi,090,Delhi,,28.7688,77.0869,1
IN,110052,Wazir Pur III,Delhi,07,North West Delhi,090,Delhi,,28.7688,77.0869,1
IN,110056,New Multan Nagar,Delhi,07,North West Delhi,090,Delhi,,28.7688,77.0869,1
IN,110056,Shakur Basti Depot,Delhi,07,North West Delhi,090,Delhi,,28.7688,77.0869,1
IN,110081,Karala,Delhi,07,North West Delhi,090,Delhi,,28.7355,77.0352,4
IN,110081,Jaunti,Delhi,07,North West Delhi,090,Delhi,,28.7502,76.9699,4
IN,110081,Nizampur,Delhi,07,North West Delhi,090,Delhi,,28.7178,76.9597,4
IN,110081,Mubarak Pur Dabas,Delhi,07,North West Delhi,090,Delhi,,28.7299,76.9929,3
IN,110081,Lad Pur,Delhi,07,North West Delhi,090,Delhi,,28.7299,76.9929,3
IN,110081,Kanjhawla,Delhi,07,North West Delhi,090,Delhi,,28.7299,76.9929,3
IN,110081,Chand Pur,Delhi,07,North West Delhi,090,Delhi,,28.7299,76.9929,3
IN,110081,Majra Dabas,Delhi,07,North West Delhi,090,Delhi,,28.7299,76.9929,3
IN,110081,Rani Khera,Delhi,07,North West Delhi,090,Delhi,,28.706,77.0258,4
IN,110081,Punjab Khor,Delhi,07,North West Delhi,090,Delhi,,28.7759,76.9649,4
IN,110081,Gheora,Delhi,07,North West Delhi,090,Delhi,,28.6941,77.0016,4
IN,110082,Holambi Kalan,Delhi,07,North West Delhi,090,Delhi,,28.8044,77.0969,4
IN,110082,Khera Khurd,Delhi,07,North West Delhi,090,Delhi,,28.7755,77.0997,4
IN,110082,Khera Kalan,Delhi,07,North West Delhi,090,Delhi,,28.7745,77.1172,4
IN,110082,Naya Bans,Delhi,07,North West Delhi,090,Delhi,,28.7848,77.1046,3
IN,110083,Mangolpuri N Block,Delhi,07,North West Delhi,090,Delhi,,28.7441,77.0732,1
IN,110083,Mangolpuri S Block,Delhi,07,North West Delhi,090,NA,,28.7441,77.0732,1
IN,110083,Mangolpuri I  Block,Delhi,07,North West Delhi,090,Delhi,,28.7441,77.0732,1
IN,110083,Mangolpuri A Block,Delhi,07,North West Delhi,090,Delhi,,28.7441,77.0732,1
IN,110085,Rohini Sector 5,Delhi,07,North West Delhi,090,Delhi,,28.7201,77.1027,3
IN,110085,Rohini Sector-7,Delhi,07,North West Delhi,090,NA,,28.7201,77.1027,3
IN,110085,Rohini sec-11,Delhi,07,North West Delhi,090,Delhi,,28.7201,77.1027,3
IN,110085,Naharpur,Delhi,07,North West Delhi,090,North West Delhi,,28.7201,77.1027,3
IN,110085,Prashant Vihar,Delhi,07,North West Delhi,090,Delhi,,28.7201,77.1027,3
IN,110085,Rohini Courts,Delhi,07,North West Delhi,090,NA,,28.7201,77.1027,3
IN,110085,Rithala,Delhi,07,North West Delhi,090,Delhi,,28.7201,77.1027,4
IN,110086,Prem Nagar,Delhi,07,North West Delhi,090,Delhi,,28.7441,77.0732,1
IN,110086,Sultanpuri B Block,Delhi,07,North West Delhi,090,Delhi,,28.7441,77.0732,1
IN,110086,Budh Vihar,Delhi,07,North West Delhi,090,Delhi,,28.7441,77.0732,1
IN,110086,Sultanpuri F Block,Delhi,07,North West Delhi,090,Delhi,,28.7441,77.0732,1
IN,110086,Begumpur,Delhi,07,North West Delhi,090,Delhi,,28.7441,77.0732,1
IN,110086,Pooth Kalan,Delhi,07,North West Delhi,090,Delhi,,28.7441,77.0732,1
IN,110086,Pooth Kalan Resettlement,Delhi,07,North West Delhi,090,NA,,28.7441,77.0732,1
IN,110086,Sultanpuri C Block,Delhi,07,North West Delhi,090,Delhi,,28.7441,77.0732,1
IN,110088,Haiderpur,Delhi,07,North West Delhi,090,Delhi,,28.7219,77.159,3
IN,110088,Shalimar Bagh (North West Delhi),Delhi,07,North West Delhi,090,Delhi,,28.7219,77.159,3
IN,110088,Shalamar,Delhi,07,North West Delhi,090,Delhi,,28.7219,77.159,4
IN,110089,Rohini Sector 15,Delhi,07,North West Delhi,090,NA,,28.7441,77.0732,1
IN,110094,Sabhapur,Delhi,07,North West Delhi,090,Delhi North East,,28.7688,77.0869,1
IN,110006,Delhi Sadar Bazar,Delhi,07,North Delhi,091,Delhi,,28.7106,77.2115,1
IN,110006,Chandni Chowk,Delhi,07,North Delhi,091,Delhi,,28.7106,77.2115,1
IN,110006,Delhi G.P.O.,Delhi,07,North Delhi,091,Delhi,,28.7106,77.2115,1
IN,110006,Dareeba,Delhi,07,North Delhi,091,Delhi,,28.7106,77.2115,1
IN,110006,Chawri Bazar,Delhi,07,North Delhi,091,Delhi,,28.7106,77.2115,1
IN,110006,S.T. Road,Delhi,07,North Delhi,091,Delhi,,28.7106,77.2115,1
IN,110006,Baratooti,Delhi,07,North Delhi,091,NA,,28.7106,77.2115,1
IN,110007,Gulabi Bagh,Delhi,07,North Delhi,091,Delhi,,28.6764,77.2074,3
IN,110007,Shakti Nagar (North Delhi),Delhi,07,North Delhi,091,Delhi,,28.6764,77.2074,3
IN,110007,Roshan Ara Road,Delhi,07,North Delhi,091,Delhi,,28.6764,77.2074,3
IN,110007,Roop Nagar,Delhi,07,North Delhi,091,Delhi,,28.6764,77.2074,3
IN,110007,R.C.A.O.,Delhi,07,North Delhi,091,Delhi,,28.6764,77.2074,3
IN,110007,Rana Pratap Bagh,Delhi,07,North Delhi,091,NA,,28.6764,77.2074,3
IN,110007,Padam Nagar (North Delhi),Delhi,07,North Delhi,091,Delhi,,28.6764,77.2074,3
IN,110007,Kamla Nagar (North Delhi),Delhi,07,North Delhi,091,Delhi,,28.6764,77.2074,3
IN,110007,Jawahar Nagar (North Delhi),Delhi,07,North Delhi,091,NA,,28.6764,77.2074,3
IN,110007,C.C.I.,Delhi,07,North Delhi,091,Delhi,,28.6764,77.2074,3
IN,110007,Delhi University,Delhi,07,North Delhi,091,Delhi,,28.6764,77.2074,3
IN,110007,Malka Ganj,Delhi,07,North Delhi,091,Delhi,,28.6764,77.2074,4
IN,110054,Aruna Nagar,Delhi,07,North Delhi,091,North,,28.6921,77.2245,3
IN,110054,Timarpur,Delhi,07,North Delhi,091,Delhi,,28.7038,77.2227,4
IN,110054,District Courts (North Delhi),Delhi,07,North Delhi,091,Delhi,,28.6921,77.2245,3
IN,110054,Patrachar Vidyalay,Delhi,07,North Delhi,091,Delhi,,28.6921,77.2245,3
IN,110054,Majnu ka Tila,Delhi,07,North Delhi,091,Delhi,,28.6921,77.2245,3
IN,110054,Civil Lines (North Delhi),Delhi,07,North Delhi,091,Delhi,,28.6804,77.2263,4
IN,110084,Wazirabad Village,Delhi,07,North Delhi,091,North,,28.7486,77.2096,3
IN,110084,Jharoda Majraa,Delhi,07,North Delhi,091,Delhi,,28.7486,77.2096,3
IN,110084,Jagatpur,Delhi,07,North Delhi,091,Delhi,,28.7414,77.2199,4
IN,110084,Burari,Delhi,07,North Delhi,091,Delhi,,28.7557,77.1994,4
IN,110085,Avantika,Delhi,07,North Delhi,091,NA,,28.7106,77.2115,3
IN,110085,Rohini Sector-16,Delhi,07,North Delhi,091,Delhi,,28.7106,77.2115,3
IN,110086,Kirari Suleman Nagar,Delhi,07,North Delhi,091,Delhi,,28.7106,77.2115,1
IN,110032,Babarpur (North East Delhi),Delhi,07,North East Delhi,092,NA,,28.6875,77.2856,4
IN,110053,Bhajan Pura,Delhi,07,North East Delhi,092,NA,,28.6866,77.2732,3
IN,110090,Shaheed Bhagat Singh Colony,Delhi,07,North East Delhi,092,NA,,28.7077,77.274,1
IN,110090,Shriram Colony Rajeev Nagar,Delhi,07,North East Delhi,092,NA,,28.7077,77.274,1
IN,110090,Dayalpur,Delhi,07,North East Delhi,092,Delhi,,28.7077,77.274,1
IN,110093,Mandoli Saboli,Delhi,07,North East Delhi,092,NA,,28.7077,77.274,1
IN,110093,Sunder Nagari,Delhi,07,North East Delhi,092,NA,,28.7077,77.274,1
IN,110031,Rajgarh Colony,Delhi,07,East Delhi,093,NA,,28.659,77.2739,4
IN,110031,Geeta Colony,Delhi,07,East Delhi,093,NA,,28.6507,77.2764,4
IN,110031,Gandhi Nagar (East Delhi),Delhi,07,East Delhi,093,NA,,28.6548,77.2752,3
IN,110031,Shastri Nagar (East Delhi),Delhi,07,East Delhi,093,NA,,28.6548,77.2752,3
IN,110031,Kailash Nagar,Delhi,07,East Delhi,093,NA,,28.6548,77.2752,3
IN,110031,Gandhi Nagar Bazar,Delhi,07,East Delhi,093,NA,,28.6548,77.2752,3
IN,110031,Raghubar Pura,Delhi,07,East Delhi,093,NA,,28.6548,77.2752,3
IN,110032,Goverdhan Bihari Colony,Delhi,07,East Delhi,093,NA,,28.6292,77.298,3
IN,110032,Man Sarovar Park,Delhi,07,East Delhi,093,NA,,28.6292,77.298,3
IN,110032,Shahdara Mandi,Delhi,07,East Delhi,093,NA,,28.6292,77.298,3
IN,110032,Telewara,Delhi,07,East Delhi,093,NA,,28.6292,77.298,3
IN,110032,Vishwas Nagar,Delhi,07,East Delhi,093,NA,,28.6292,77.298,3
IN,110032,Distt. Court (KKD),Delhi,07,East Delhi,093,NA,,28.6292,77.298,3
IN,110032,Bhola Nath Nagar,Delhi,07,East Delhi,093,NA,,28.6292,77.298,3
IN,110032,Balbir Nagar,Delhi,07,East Delhi,093,NA,,28.6292,77.298,3
IN,110032,Shivaji Park (East Delhi),Delhi,07,East Delhi,093,NA,,28.6292,77.298,3
IN,110032,Shahdara,Delhi,07,East Delhi,093,NA,,28.6292,77.298,4
IN,110032,Rohtash Nagar,Delhi,07,East Delhi,093,NA,,28.6292,77.298,3
IN,110032,Loni Road,Delhi,07,East Delhi,093,NA,,28.6292,77.298,3
IN,110051,Govind Pura,Delhi,07,East Delhi,093,NA,,28.6292,77.298,1
IN,110051,Krishna Nagar H.O,Delhi,07,East Delhi,093,NA,,28.6292,77.298,1
IN,110051,Azad Nagar (East Delhi),Delhi,07,East Delhi,093,NA,,28.6292,77.298,1
IN,110051,Ram Nagar (East Delhi),Delhi,07,East Delhi,093,NA,,28.6292,77.298,1
IN,110053,Yamuna Vihar,Delhi,07,East Delhi,093,NA,,28.6292,77.298,4
IN,110053,Jagjit Nagar,Delhi,07,East Delhi,093,NA,,28.6292,77.298,3
IN,110053,Garhi Mandu,Delhi,07,East Delhi,093,East Delhi,,28.6292,77.298,3
IN,110053,New Usmanpur,Delhi,07,East Delhi,093,NA,,28.6292,77.298,3
IN,110053,Jafrabad (East Delhi),Delhi,07,East Delhi,093,NA,,28.6292,77.298,3
IN,110053,Seelampur,Delhi,07,East Delhi,093,NA,,28.6708,77.2721,4
IN,110053,Brahampuri,Delhi,07,East Delhi,093,NA,,28.6292,77.298,3
IN,110053,Maujpur,Delhi,07,East Delhi,093,NA,,28.6292,77.298,4
IN,110090,Badarpur Khadar,Delhi,07,East Delhi,093,East Delhi,,28.6114,77.2982,1
IN,110090,Sonia Vihar,Delhi,07,East Delhi,093,NA,,28.6114,77.2982,1
IN,110090,Khajuri Khas,Delhi,07,East Delhi,093,Delhi,,28.6114,77.2982,1
IN,110090,Karawal Nagar,Delhi,07,East Delhi,093,NA,,28.6114,77.2982,1
IN,110091,Chilla,Delhi,07,East Delhi,093,NA,,28.5957,77.3019,4
IN,110091,Patparganj,Delhi,07,East Delhi,093,NA,,28.609,77.2953,4
IN,110091,Kalyanpuri,Delhi,07,East Delhi,093,NA,,28.6142,77.3162,4
IN,110091,Kalyanvas,Delhi,07,East Delhi,093,NA,,28.6063,77.3045,3
IN,110091,Mayur Vihar Ph-I,Delhi,07,East Delhi,093,NA,,28.6063,77.3045,3
IN,110091,Himmatpuri,Delhi,07,East Delhi,093,NA,,28.6063,77.3045,3
IN,110091,Trilok Puri,Delhi,07,East Delhi,093,NA,,28.6063,77.3045,3
